waypoint1	waypoint2	distance_m	duration_s
Red Truck Beer Company , North Vancouver, British Columbia    	Callister Brewing Company , Vancouver, British Columbia  	10987	2786
Off The Rail Brewing Co. , Vancouver, British Columbia    	Powell Street Brewery , East Vancouver, British Columbia    	9136	2384
R&B Brewing Co. , Vancouver, British Columbia  	Yaletown Brewing Company , Vancouver, British Columbia 	0	0
Main Street Brewing Co. , Vancouver, British Columbia    	Callister Brewing Company , Vancouver, British Columbia  	0	0
33 Acres Brewing Co. , Vancouver, British Columbia   	Bridge Brewing Co. , North Vancouver BC    	10987	2786
Off The Rail Brewing Co. , Vancouver, British Columbia    	Sailor Hagar's , North Vancouver, British Columbia	10987	2786
Powell Street Brewery , East Vancouver, British Columbia    	Yaletown Brewing Company , Vancouver, British Columbia 	8303	1965
Red Truck Beer Company , North Vancouver, British Columbia    	R&B Brewing Co. , Vancouver, British Columbia  	10987	2786
Steamworks Brewing Co. , Vancouver, British Columbia    	Main Street Brewing Co. , Vancouver, British Columbia    	0	0
Strange Fellows Brewing Co. , Vancouver, British Columbia    	Powell Street Brewery , East Vancouver, British Columbia    	8303	1965
Red Truck Beer Company , North Vancouver, British Columbia    	Sailor Hagar's , North Vancouver, British Columbia	0	0
Sailor Hagar's , North Vancouver, British Columbia	Black Kettle Brewing Co. , North Vancouver, British Columbia  	0	0
Main Street Brewing Co. , Vancouver, British Columbia    	Postmark Brewing Co. , Vancouver, British Columbia    	0	0
Coal Harbour Brewing Company , Vancouver, British Columbia    	Parallel 49 Brewing Co. , East Vancouver, British Columbia    	9136	2384
Dockside Brewing Co. , Vancouver, British Columbia    	Green Leaf Brewing , North Vancouver, British Columbia  	10987	2786
Sailor Hagar's , North Vancouver, British Columbia	Yaletown Brewing Company , Vancouver, British Columbia 	11473	2271
Parallel 49 Brewing Co. , East Vancouver, British Columbia    	Bomber Brewing , East Vancouver, British Columbia    	0	0
Brassneck Brewery , Vancouver, British Columbia  	Black Kettle Brewing Co. , North Vancouver, British Columbia  	11473	2271
Green Leaf Brewing , North Vancouver, British Columbia  	Postmark Brewing Co. , Vancouver, British Columbia    	11473	2271
33 Acres Brewing Co. , Vancouver, British Columbia   	Big Rock Brewing , Vancouver, British Columbia    	0	0
Dogwood Brewing , Vancouver, British Columbia  	Hearthstone Brewing , North Vancouver, British Columbia    	10987	2786
33 Acres Brewing Co. , Vancouver, British Columbia   	Sailor Hagar's , North Vancouver, British Columbia	10987	2786
Big Rock Brewing , Vancouver, British Columbia    	Sailor Hagar's , North Vancouver, British Columbia	10987	2786
Red Truck Beer Company , North Vancouver, British Columbia    	33 Acres Brewing Co. , Vancouver, British Columbia   	10987	2786
Hearthstone Brewing , North Vancouver, British Columbia    	Parallel 49 Brewing Co. , East Vancouver, British Columbia    	14272	3506
33 Acres Brewing Co. , Vancouver, British Columbia   	Brassneck Brewery , Vancouver, British Columbia  	0	0
Dockside Brewing Co. , Vancouver, British Columbia    	Granville Island Brewing , Vancouver, British Columbia    	0	0
Dockside Brewing Co. , Vancouver, British Columbia    	Bridge Brewing Co. , North Vancouver BC    	11473	2271
Dockside Brewing Co. , Vancouver, British Columbia    	R&B Brewing Co. , Vancouver, British Columbia  	0	0
Dogwood Brewing , Vancouver, British Columbia  	Coal Harbour Brewing Company , Vancouver, British Columbia    	0	0
R&B Brewing Co. , Vancouver, British Columbia  	Big Rock Brewing , Vancouver, British Columbia    	0	0
Yaletown Brewing Company , Vancouver, British Columbia 	Bomber Brewing , East Vancouver, British Columbia    	8303	1965
Postmark Brewing Co. , Vancouver, British Columbia    	Bomber Brewing , East Vancouver, British Columbia    	8303	1965
Coal Harbour Brewing Company , Vancouver, British Columbia    	Storm Brewing Co. , Vancouver, British Columbia    	0	0
Coal Harbour Brewing Company , Vancouver, British Columbia    	Granville Island Brewing , Vancouver, British Columbia    	0	0
Deep Cove Brewers and Distillers , North Vancouver, British Columbia    	Big Rock Brewing , Vancouver, British Columbia    	10987	2786
Strange Fellows Brewing Co. , Vancouver, British Columbia    	Coal Harbour Brewing Company , Vancouver, British Columbia    	0	0
Dockside Brewing Co. , Vancouver, British Columbia    	Yaletown Brewing Company , Vancouver, British Columbia 	0	0
Yaletown Brewing Company , Vancouver, British Columbia 	Callister Brewing Company , Vancouver, British Columbia  	0	0
Steamworks Brewing Co. , Vancouver, British Columbia    	Powell Street Brewery , East Vancouver, British Columbia    	8303	1965
Big Rock Brewing , Vancouver, British Columbia    	Callister Brewing Company , Vancouver, British Columbia  	0	0
Main Street Brewing Co. , Vancouver, British Columbia    	Bomber Brewing , East Vancouver, British Columbia    	8303	1965
Deep Cove Brewers and Distillers , North Vancouver, British Columbia    	Parallel 49 Brewing Co. , East Vancouver, British Columbia    	14272	3506
Green Leaf Brewing , North Vancouver, British Columbia  	Red Truck Beer Company , North Vancouver, British Columbia    	0	0
Green Leaf Brewing , North Vancouver, British Columbia  	Brassneck Brewery , Vancouver, British Columbia  	10987	2786
Strange Fellows Brewing Co. , Vancouver, British Columbia    	Bridge Brewing Co. , North Vancouver BC    	11473	2271
Dockside Brewing Co. , Vancouver, British Columbia    	Sailor Hagar's , North Vancouver, British Columbia	10987	2786
Green Leaf Brewing , North Vancouver, British Columbia  	Black Kettle Brewing Co. , North Vancouver, British Columbia  	0	0
Red Truck Beer Company , North Vancouver, British Columbia    	Main Street Brewing Co. , Vancouver, British Columbia    	10987	2786
Main Street Brewing Co. , Vancouver, British Columbia    	Parallel 49 Brewing Co. , East Vancouver, British Columbia    	9136	2384
Dockside Brewing Co. , Vancouver, British Columbia    	Brassneck Brewery , Vancouver, British Columbia  	0	0
Steamworks Brewing Co. , Vancouver, British Columbia    	Hearthstone Brewing , North Vancouver, British Columbia    	11473	2271
Granville Island Brewing , Vancouver, British Columbia    	Bomber Brewing , East Vancouver, British Columbia    	8303	1965
Brassneck Brewery , Vancouver, British Columbia  	Coal Harbour Brewing Company , Vancouver, British Columbia    	0	0
Red Truck Beer Company , North Vancouver, British Columbia    	Coal Harbour Brewing Company , Vancouver, British Columbia    	10987	2786
Hearthstone Brewing , North Vancouver, British Columbia    	Postmark Brewing Co. , Vancouver, British Columbia    	11473	2271
Steamworks Brewing Co. , Vancouver, British Columbia    	Storm Brewing Co. , Vancouver, British Columbia    	0	0
Strange Fellows Brewing Co. , Vancouver, British Columbia    	Granville Island Brewing , Vancouver, British Columbia    	0	0
Off The Rail Brewing Co. , Vancouver, British Columbia    	Bridge Brewing Co. , North Vancouver BC    	11473	2271
Green Leaf Brewing , North Vancouver, British Columbia  	Strange Fellows Brewing Co. , Vancouver, British Columbia    	11473	2271
Brassneck Brewery , Vancouver, British Columbia  	Bridge Brewing Co. , North Vancouver BC    	10987	2786
Red Truck Beer Company , North Vancouver, British Columbia    	Postmark Brewing Co. , Vancouver, British Columbia    	10987	2786
Green Leaf Brewing , North Vancouver, British Columbia  	Storm Brewing Co. , Vancouver, British Columbia    	11473	2271
Steamworks Brewing Co. , Vancouver, British Columbia    	Big Rock Brewing , Vancouver, British Columbia    	0	0
Off The Rail Brewing Co. , Vancouver, British Columbia    	Coal Harbour Brewing Company , Vancouver, British Columbia    	0	0
R&B Brewing Co. , Vancouver, British Columbia  	Granville Island Brewing , Vancouver, British Columbia    	0	0
Steamworks Brewing Co. , Vancouver, British Columbia    	Callister Brewing Company , Vancouver, British Columbia  	0	0
Granville Island Brewing , Vancouver, British Columbia    	Sailor Hagar's , North Vancouver, British Columbia	10987	2786
Dogwood Brewing , Vancouver, British Columbia  	Brassneck Brewery , Vancouver, British Columbia  	0	0
Off The Rail Brewing Co. , Vancouver, British Columbia    	Red Truck Beer Company , North Vancouver, British Columbia    	10987	2786
Deep Cove Brewers and Distillers , North Vancouver, British Columbia    	Powell Street Brewery , East Vancouver, British Columbia    	14272	3506
Parallel 49 Brewing Co. , East Vancouver, British Columbia    	Black Kettle Brewing Co. , North Vancouver, British Columbia  	14272	3506
Strange Fellows Brewing Co. , Vancouver, British Columbia    	Yaletown Brewing Company , Vancouver, British Columbia 	0	0
Steamworks Brewing Co. , Vancouver, British Columbia    	Coal Harbour Brewing Company , Vancouver, British Columbia    	0	0
Brassneck Brewery , Vancouver, British Columbia  	Parallel 49 Brewing Co. , East Vancouver, British Columbia    	9136	2384
Red Truck Beer Company , North Vancouver, British Columbia    	Parallel 49 Brewing Co. , East Vancouver, British Columbia    	14669	4132
Hearthstone Brewing , North Vancouver, British Columbia    	33 Acres Brewing Co. , Vancouver, British Columbia   	10987	2786
Off The Rail Brewing Co. , Vancouver, British Columbia    	Bomber Brewing , East Vancouver, British Columbia    	8303	1965
Dogwood Brewing , Vancouver, British Columbia  	Bomber Brewing , East Vancouver, British Columbia    	8303	1965
Off The Rail Brewing Co. , Vancouver, British Columbia    	R&B Brewing Co. , Vancouver, British Columbia  	0	0
Hearthstone Brewing , North Vancouver, British Columbia    	Callister Brewing Company , Vancouver, British Columbia  	10987	2786
Deep Cove Brewers and Distillers , North Vancouver, British Columbia    	Main Street Brewing Co. , Vancouver, British Columbia    	11473	2271
Big Rock Brewing , Vancouver, British Columbia    	Yaletown Brewing Company , Vancouver, British Columbia 	0	0
R&B Brewing Co. , Vancouver, British Columbia  	Bomber Brewing , East Vancouver, British Columbia    	8303	1965
Dockside Brewing Co. , Vancouver, British Columbia    	Coal Harbour Brewing Company , Vancouver, British Columbia    	0	0
